"名称","住所","MTENO","LinkNo","経度","緯度","分類"
"","","23","2082","135.600303481213","34.3171760007443","埋蔵文化財包蔵地_点"
"","","37","2095","135.59872490048","34.3030644730995","埋蔵文化財包蔵地_点"
"","","39","2097","135.587410986216","34.2995559014292","埋蔵文化財包蔵地_点"
"","","79","2130","135.585996819131","34.295957532783","埋蔵文化財包蔵地_点"
"","","1","2162","135.602281570631","34.3174167648655","埋蔵文化財包蔵地_点"
"","","34","2092","135.584495125696","34.3160315861647","埋蔵文化財包蔵地_点"
"","","6","2237","135.585555897579","34.2809028145331","埋蔵文化財包蔵地_点"
"","","55","2110","135.578798928444","34.311204565503","埋蔵文化財包蔵地_点"
"","","42","2099","135.576947554536","34.3069021667048","埋蔵文化財包蔵地_点"
"","","57","2112","135.594398940462","34.3058246241003","埋蔵文化財包蔵地_点"
"","","90","2138","135.583500623133","34.3071149056845","埋蔵文化財包蔵地_点"
"","","36","2094","135.581224458443","34.3152591121601","埋蔵文化財包蔵地_点"
"","","32","2090","135.588620638832","34.3183243585967","埋蔵文化財包蔵地_点"
"","","60","2115","135.593087811077","34.3162304919379","埋蔵文化財包蔵地_点"
"","","30","2088","135.596715000034","34.3163333361623","埋蔵文化財包蔵地_点"
"","","8","2239","135.55374665372","34.2926530041779","埋蔵文化財包蔵地_点"
"","","14","2180","135.572964999792","34.3148199994836","埋蔵文化財包蔵地_点"
"","","9","2240","135.559959629968","34.2927073321274","埋蔵文化財包蔵地_点"
"","","81","2132","135.571986740553","34.3379498668848","埋蔵文化財包蔵地_点"
"","","92","2140","135.585399804405","34.3287320090182","埋蔵文化財包蔵地_点"
"","","35","2093","135.581196594431","34.3187563882015","埋蔵文化財包蔵地_点"
"","","33","2158","135.583352826807","34.319457508313","埋蔵文化財包蔵地_点"
"","","48","2104","135.586181432804","34.3220293845564","埋蔵文化財包蔵地_点"
"","","29","2149","135.596738965893","34.3178897750227","埋蔵文化財包蔵地_点"
"","","31","2089","135.584417613952","34.3442879374877","埋蔵文化財包蔵地_点"
"","","6","1887","135.449790761971","34.246004511766","埋蔵文化財包蔵地_点"
"","","10","2204","135.488761487078","34.2983123411041","埋蔵文化財包蔵地_点"
"","","15","2209","135.492397267016","34.2992487327108","埋蔵文化財包蔵地_点"
"","","22","2215","135.46213357306","34.2926509192327","埋蔵文化財包蔵地_点"
"","","5","2199","135.458323377723","34.2965657530833","埋蔵文化財包蔵地_点"
"","","20","2214","135.453035871857","34.2865971053475","埋蔵文化財包蔵地_点"
"","","6","2200","135.456403922367","34.2794672317038","埋蔵文化財包蔵地_点"
"","","11","2205","135.465250762676","34.2913262738768","埋蔵文化財包蔵地_点"
"","","33","1865","135.467365833526","34.2511719437843","埋蔵文化財包蔵地_点"
"","","39","1870","135.433381649108","34.2819773298831","埋蔵文化財包蔵地_点"
"","","30","1862","135.428494769118","34.2584411895102","埋蔵文化財包蔵地_点"
"","","8","1889","135.430817722727","34.2585668793199","埋蔵文化財包蔵地_点"
"","","37","1868","135.43724314648","34.3086420506626","埋蔵文化財包蔵地_点"
"","","5","1886","135.443705646209","34.2549632022796","埋蔵文化財包蔵地_点"
"","","1","1882","135.450139851632","34.2921885510898","埋蔵文化財包蔵地_点"
"","","9","1890","135.443718055747","34.2796406388139","埋蔵文化財包蔵地_点"
"","","4","1885","135.443993097935","34.2664451495285","埋蔵文化財包蔵地_点"
"","","3","1884","135.445559996813","34.2684631632768","埋蔵文化財包蔵地_点"
"","","10","1891","135.442647108895","34.2821771537708","埋蔵文化財包蔵地_点"
"","","11","1892","135.438842918797","34.2793772294633","埋蔵文化財包蔵地_点"
