"名称_1","住所","天LinkNo","番号","地図","指定等区分","指定種別","名称_2","めいしょう","指定年月日","所在地","所有者（菅","備考","市町村CD","市町村地区","経度","緯度","分類"
"","","105","4.000000","8図","県指定","史跡","大畑才蔵勝善の墓","おおはたさいぞうかつよしのはか","昭44.4.23","学文路986","個人","","06","橋本市橋本地区","135.587536603657","34.295568172954","史跡_名勝_天然記念物_面"
"","","37","2.000000","16図","県指定","史跡","松代王子跡","まつしろおうじあと","昭33.4.1","大野中松代1056","春日神社","","02","海南市旧海南地域","135.224222597099","34.1554045788257","史跡_名勝_天然記念物_面"
"","","38","3.000000","16図","県指定","史跡","祓戸王子跡","はらいどおうじあと","昭33.4.1","鳥居北浦257-1","藤白神社","","02","海南市旧海南地域","135.215222508694","34.1478109360176","史跡_名勝_天然記念物_面"
"","","39","5.000000","16図","県指定","史跡","松坂王子跡","まつさかおうじあと","昭49.4.9","且来1426-1","個人","27㎡","02","海南市旧海南地域","135.232120496016","34.1676171841811","史跡_名勝_天然記念物_面"
"","","107","7.000000","","県指定","史跡","隅田八幡神社経塚","すだはちまんじんじゃきょうづか","平19.6.12","隅田町","隅田八幡神社","","06","橋本市橋本地区","135.645484960803","34.3334708142152","史跡_名勝_天然記念物_面"
"","","213","5.000000","","県指定","史跡","仏井戸・上野王子旧地（熊野参詣道　紀伊路）","ほとけいど・うえのおうじきゅうち（くまのさんけいみち　きいじ）","平24.7.20","名田町上野1293-5,1293-2，1293-3，1293-6","個人、区、御坊市","","14","御坊市","135.182923003075","33.8308123314908","史跡_名勝_天然記念物_面"
"","","264","4.000000","39図","県指定","天然記念物","切目神社のほるとのき","きりめじんじゃのほるとのき","昭34.1.8","印南町西ノ地328","切目神社","","20","印南町","135.231686074858","33.8027098013753","史跡_名勝_天然記念物_面"
"","","280","12.000000","","県指定","天然記念物","龍神宮のウバメガシ","りゅうぜんぐうのうばめがし","平20.6.24","上秋津","上秋津愛郷会","","21","田辺市田辺地区","135.396213081769","33.7876037579026","史跡_名勝_天然記念物_面"
"","","292","13.000000","42・43図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","田辺市域：紀伊路、中辺路、大辺路、小辺路、伊勢路、熊野川","21","田辺市中辺路地区","135.66156148084","33.8361296762673","史跡_名勝_天然記念物_面"
"","","310","7.000000","44図","県指定","史跡","磨崖名号碑（伝一遍上人名号石）","まがいみょうごうひ（でんいっぺんしょうにんみょうごうせき）","昭42.4.14","湯峯270-2","（湯峯自治会）","","21","田辺市本宮地区","135.757545155286","33.8295204015049","史跡_名勝_天然記念物_面"
