"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","2139","91","9図","隅田八幡神社経塚群","すだはちまんじんじゃきょうづかぐん","隅田町垂井","経塚","中世","台地","経筒と外容器","県史跡","06 橋本市橋本地区","135.645485183311","34.3334710362522","埋蔵文化財包蔵地_面"
"","","2084","26","8図","東家古墳","とうげこふん","東家","古墳","古墳","山腹","円墳、須恵器","","06 橋本市橋本地区","135.607701263489","34.3214745351237","埋蔵文化財包蔵地_面"
"","","2077","18","9図","鳥坪古墳","とりつぼこふん","隅田町河瀬","古墳","古墳","丘陵端","円墳","","06 橋本市橋本地区","135.625224928238","34.3216651510371","埋蔵文化財包蔵地_面"
"","","2145","13-2","9図","上兵庫2号墳","0","隅田町上兵庫","古墳","古墳","丘陵上","円墳？（上兵庫古墳）","","06 橋本市橋本地区","135.638367218611","34.3267640241597","埋蔵文化財包蔵地_面"
"","","2146","13-3","9図","上兵庫3号墳","0","隅田町上兵庫","古墳","古墳","丘陵上","円墳、内部主体は消滅（上兵庫古墳）","","06 橋本市橋本地区","135.640222203237","34.3267319630757","埋蔵文化財包蔵地_面"
"","","2144","13-1","9図","上兵庫1号墳","0","隅田町上兵庫","古墳","古墳","丘陵上","円墳（霜山古墳）","","06 橋本市橋本地区","135.638135094232","34.3268017085488","埋蔵文化財包蔵地_面"
"","","2081","22","8図","橋本一里塚","はしもといちりづか","橋本","一里塚","江戸","河岸段丘","","","06 橋本市橋本地区","135.611651640385","34.3165542880562","埋蔵文化財包蔵地_面"
"","","2086","28","8図","定福寺九重塔","じょうふくじきゅうじゅうのとう","賢堂","石塔","鎌倉","丘陵端","","","06 橋本市橋本地区","135.612807558785","34.308827949482","埋蔵文化財包蔵地_面"
"","","3470","46","36図","東ノ川遺跡","ひがしのがわいせき","野中","松煙生産地","近世","丘陵","土器","0","21 田辺市中辺路地区","135.648698915396","33.8504943437949","埋蔵文化財包蔵地_面"
"","","3465","41-2","36図","湯川2号松煙窯跡","ゆかわにごうしょうえんかまあと","道湯川","松煙生産跡","近世","丘陵","0","","21 田辺市中辺路地区","135.671835801921","33.844876982802","埋蔵文化財包蔵地_面"
"","","3461","35-3","36図","広見川3号松煙窯跡","ひろみがわさんごうしょうえんかまあと","野中","松煙生産跡","近世","丘陵裾","0","","21 田辺市中辺路地区","135.643619704828","33.8550466497922","埋蔵文化財包蔵地_面"
"","","3460","35-2","36図","広見川2号松煙窯跡","ひろみがわにごうしょうえんかまあと","野中","松煙生産跡","近世","丘陵裾","0","0","21 田辺市中辺路地区","135.644283549052","33.8621655661548","埋蔵文化財包蔵地_面"
"","","3464","41-1","36図","湯川1号松煙窯跡","ゆかわいちごうしょうえんかまあと","道湯川","松煙生産跡","近世","丘陵","タタラ煙道","0","21 田辺市中辺路地区","135.688907753505","33.8447679684352","埋蔵文化財包蔵地_面"
"","","3459","35-1","36図","広見川1号松煙窯跡","ひろみがわいちごうしょうえんかまあと","野中","松煙生産跡","近世","丘陵裾","煙筒片","0","21 田辺市中辺路地区","135.644784393198","33.8616884680039","埋蔵文化財包蔵地_面"
"","","3458","33","43図","ズミハナ松煙窯跡","ずみはなしょうえんかまあと","野中","松煙生産跡","近世","丘陵","0","0","21 田辺市中辺路地区","135.648515350127","33.828509239264","埋蔵文化財包蔵地_面"
